,Price,Strap_color,Size_fits,Brand_Name,Screen_Size,Calling_System
417,1399,Black Strap, Standard,TXOR WAVE,,No
418,1499,Burgundy Strap, Free Size,boAt Wave,1.96,Yes
419,3999,Black Strap, Free Size,Fire-Boltt Hurricane,33.02,No
420,2499,Blue Orange Strap, Free Size,Urban Zippy,,No
421,2499,White Green Strap, Free Size,Urban Zippy,,No
422,1299,Satin Silver Strap, Free Size,beatXP Evoke,1.43,No
423,1999,Blue Strap, Free Size,Fire-Boltt Supernova,45.2,No
424,2899,Black Strap, Free Size,Fire-Boltt Spacewatch,36.3,No
425,999,Satin Silver Strap, Free Size,beatXP Nuke,1.32,Yes
426,2499,Pink Pink Strap, Free Size,Urban Zippy,,No
427,3999,Brown Strap, Free Size,Urban Fit,1.38,No
428,1799,Gold SS Strap, 1.39,Fire-Boltt Ninja,35.3,No
429,2299,Beige Strap, Free Size,Cult Ranger,1.52,No
430,2136,Black, Free Size,Voods V,2.01,No
